file	result	first_error
scripts/dst/attribution_table_dst.ail	ok	
scripts/dst/compaction_catalog_dst.ail	ok	
scripts/dst/compaction_policy_dst.ail	FAIL	Error: module loading error: failed to load pkg/sunholo/motoko_ext_compaction_structural/compaction_structural: failed to resolve package import "pkg/sunholo/motoko_ext_compaction_structural/compaction_structural": package "sunholo/motoko_ext_compaction_structural" not found in ailang.lock; run 'ailang lock' to resolve dependencies
scripts/dst/compaction_seeded_dst.ail	FAIL	Error: module loading error: failed to load pkg/sunholo/motoko_ext_compaction_structural/compaction_structural: failed to resolve package import "pkg/sunholo/motoko_ext_compaction_structural/compaction_structural": package "sunholo/motoko_ext_compaction_structural" not found in ailang.lock; run 'ailang lock' to resolve dependencies
scripts/dst/compose_live_exec.ail	FAIL	Error: module loading error: failed to load pkg/sunholo/motoko_ext_compose/types: failed to resolve package import "pkg/sunholo/motoko_ext_compose/types": package "sunholo/motoko_ext_compose" not found in ailang.lock; run 'ailang lock' to resolve dependencies
scripts/dst/conformance_registry_probe.ail	ok	
scripts/dst/conformance_selftest.ail	FAIL	Error: module loading error: failed to load pkg/sunholo/motoko_ext_compaction_ai/register: failed to resolve package import "pkg/sunholo/motoko_ext_compaction_ai/register": package "sunholo/motoko_ext_compaction_ai" not found in ailang.lock; run 'ailang lock' to resolve dependencies
scripts/dst/corpus_pr_dst.ail	FAIL	Error: type error in scripts/dst/corpus_pr_dst (decl 21): type unification failed at [function application at scripts/dst/corpus_pr_dst.ail:339:28]: failed to unify parameter 1: record field mismatch: expected 10 fields, got 9
scripts/dst/corpus_rotating_dst.ail	FAIL	Error: type error in scripts/dst/corpus_rotating_dst (decl 19): type unification failed at [function application at scripts/dst/corpus_rotating_dst.ail:197:28]: failed to unify parameter 1: record field mismatch: expected 10 fields, got 9
scripts/dst/declared_vs_performed.ail	FAIL	Error: module loading error: failed to load pkg/sunholo/motoko_ext_compose/types: failed to resolve package import "pkg/sunholo/motoko_ext_compose/types": package "sunholo/motoko_ext_compose" not found in ailang.lock; run 'ailang lock' to resolve dependencies
scripts/dst/discovery_dst.ail	FAIL	Error: module loading error: failed to load pkg/sunholo/motoko_ext_compose/types: failed to resolve package import "pkg/sunholo/motoko_ext_compose/types": package "sunholo/motoko_ext_compose" not found in ailang.lock; run 'ailang lock' to resolve dependencies
scripts/dst/driver_only_dst.ail	ok	
scripts/dst/driver_plus_compose_dst.ail	FAIL	Error: module loading error: failed to load pkg/sunholo/motoko_ext_compose/types: failed to resolve package import "pkg/sunholo/motoko_ext_compose/types": package "sunholo/motoko_ext_compose" not found in ailang.lock; run 'ailang lock' to resolve dependencies
scripts/dst/driver_plus_no_ops_dst.ail	ok	
scripts/dst/event_vocabulary_dst.ail	ok	
scripts/dst/execution_program_dst.ail	ok	
scripts/dst/export_trace.ail	FAIL	Error: type error in scripts/dst/export_trace (decl 19): type unification failed at [function application at scripts/dst/export_trace.ail:179:28]: failed to unify parameter 1: record field mismatch: expected 10 fields, got 9
scripts/dst/export_vocabulary.ail	ok	
scripts/dst/fault_catalogue_dst.ail	ok	
scripts/dst/fixtures/adr001_boundary/boundary_types.ail	ok	
scripts/dst/fixtures/adr001_boundary/captured.ail	FAIL	Error: type error in scripts/dst/fixtures/adr001_boundary/captured (decl 0): type unification failed at [function application at scripts/dst/fixtures/adr001_boundary/captured.ail:4:91]: failed to unify parameter 0: failed to unify effect rows: incompatible closed rows: r1 has extra labels [], r2 has extra labels [IO]
scripts/dst/fixtures/adr001_boundary/capturedannot.ail	FAIL	Error: type error in scripts/dst/fixtures/adr001_boundary/capturedannot (decl 0): type unification failed at [function application at scripts/dst/fixtures/adr001_boundary/capturedannot.ail:4:91]: failed to unify parameter 0: failed to unify effect rows: incompatible closed rows: r1 has extra labels [], r2 has extra labels [IO]
scripts/dst/fixtures/adr001_boundary/capturednamed.ail	FAIL	Error: type error in scripts/dst/fixtures/adr001_boundary/capturednamed (decl 1): type unification failed at [function application at scripts/dst/fixtures/adr001_boundary/capturednamed.ail:5:28]: failed to unify parameter 0: failed to unify effect rows: incompatible closed rows: r1 has extra labels [], r2 has extra labels [IO]
scripts/dst/fixtures/adr001_boundary/clean.ail	ok	
scripts/dst/fixtures/adr001_boundary/computed_list.ail	ok	
scripts/dst/fixtures/adr001_boundary/config_projection.ail	ok	
scripts/dst/fixtures/adr001_boundary/delegate_shadow.ail	ok	
scripts/dst/fixtures/adr001_boundary/direct.ail	FAIL	Error: type error in scripts/dst/fixtures/adr001_boundary/direct (decl 0): type unification failed at [function application at scripts/dst/fixtures/adr001_boundary/direct.ail:4:28]: failed to unify parameter 0: failed to unify effect rows: incompatible closed rows: r1 has extra labels [], r2 has extra labels [IO]
scripts/dst/fixtures/adr001_boundary/fs_direct.ail	FAIL	Error: effect checking failed in scripts/dst/fixtures/adr001_boundary/fs_direct: Effect checking failed for function 'build'
scripts/dst/fixtures/adr001_boundary/fs_direct_io.ail	FAIL	Error: effect checking failed in scripts/dst/fixtures/adr001_boundary/fs_direct_io: effect checking failed: lambda at scripts/dst/fixtures/adr001_boundary/fs_direct_io.ail:4:36 uses effects not declared in its ! {FS} annotation
scripts/dst/fixtures/adr001_boundary/fs_missing.ail	ok	
scripts/dst/fixtures/adr001_boundary/fs_named.ail	FAIL	Error: effect checking failed in scripts/dst/fixtures/adr001_boundary/fs_named: Effect checking failed for function 'body'
scripts/dst/fixtures/adr001_boundary/fs_named_io.ail	FAIL	Error: effect checking failed in scripts/dst/fixtures/adr001_boundary/fs_named_io: Effect checking failed for function 'body'
scripts/dst/fixtures/adr001_boundary/fs_smuggle.ail	ok	
scripts/dst/fixtures/adr001_boundary/fs_smuggle_norow.ail	FAIL	Error: effect checking failed in scripts/dst/fixtures/adr001_boundary/fs_smuggle_norow: Effect checking failed for function 'build'
scripts/dst/fixtures/adr001_boundary/gate/fx_computed.ail	ok	
scripts/dst/fixtures/adr001_boundary/gate/fx_delegate_import_shadow.ail	ok	
scripts/dst/fixtures/adr001_boundary/gate/fx_delegate_param.ail	ok	
scripts/dst/fixtures/adr001_boundary/gate/fx_delegate_shadow.ail	ok	
scripts/dst/fixtures/adr001_boundary/gate/fx_delegate_unresolved.ail	FAIL	Error: type error in scripts/dst/fixtures/adr001_boundary/gate/fx_delegate_unresolved (decl 0): undefined variable: make_hooks at scripts/dst/fixtures/adr001_boundary/gate/fx_delegate_unresolved.ail:4:100
scripts/dst/fixtures/adr001_boundary/gate/fx_delegated_record.ail	ok	
scripts/dst/fixtures/adr001_boundary/gate/fx_empty.ail	ok	
scripts/dst/fixtures/adr001_boundary/gate/fx_form_delegated_let.ail	ok	
scripts/dst/fixtures/adr001_boundary/gate/fx_form_describe_inline.ail	ok	
scripts/dst/fixtures/adr001_boundary/gate/fx_form_inline_backslash.ail	ok	
scripts/dst/fixtures/adr001_boundary/gate/fx_form_inline_func.ail	ok	
scripts/dst/fixtures/adr001_boundary/gate/fx_form_let_lambda.ail	ok	
scripts/dst/fixtures/adr001_boundary/gate/fx_form_named_list.ail	ok	
scripts/dst/fixtures/adr001_boundary/gate/fx_import_ok.ail	ok	
scripts/dst/fixtures/adr001_boundary/gate/fx_import_shadow.ail	ok	
scripts/dst/fixtures/adr001_boundary/gate/fx_inline_lambda.ail	ok	
scripts/dst/fixtures/adr001_boundary/gate/fx_list_not_enumerable.ail	FAIL	Error: type error in scripts/dst/fixtures/adr001_boundary/gate/fx_list_not_enumerable (decl 1): undefined variable: Judge at scripts/dst/fixtures/adr001_boundary/gate/fx_list_not_enumerable.ail:5:120
scripts/dst/fixtures/adr001_boundary/gate/fx_match.ail	ok	
scripts/dst/fixtures/adr001_boundary/gate/fx_named_delegated_ok.ail	ok	
scripts/dst/fixtures/adr001_boundary/gate/fx_named_ok.ail	ok	
scripts/dst/fixtures/adr001_boundary/gate/fx_no_register.ail	ok	
scripts/dst/fixtures/adr001_boundary/gate/fx_not_a_name.ail	ok	
scripts/dst/fixtures/adr001_boundary/gate/fx_param_shadow.ail	ok	
scripts/dst/fixtures/adr001_boundary/gate/fx_partial.ail	ok	
scripts/dst/fixtures/adr001_boundary/gate/fx_payload_unresolved.ail	FAIL	Error: type error in scripts/dst/fixtures/adr001_boundary/gate/fx_payload_unresolved (decl 0): undefined variable: nowhere at scripts/dst/fixtures/adr001_boundary/gate/fx_payload_unresolved.ail:4:113
scripts/dst/fixtures/adr001_boundary/gate/fx_record_extra_field.ail	FAIL	Error: type error in scripts/dst/fixtures/adr001_boundary/gate/fx_record_extra_field (decl 1): type unification failed at [return type annotation at scripts/dst/fixtures/adr001_boundary/gate/fx_record_extra_field.ail:5:8]: record field mismatch: expected 3 fields, got 2
scripts/dst/fixtures/adr001_boundary/gate/fx_residue.ail	ok	
scripts/dst/fixtures/adr001_boundary/gate/fx_shadow.ail	ok	
scripts/dst/fixtures/adr001_boundary/gate/fx_unknown.ail	ok	
scripts/dst/fixtures/adr001_boundary/gate/gate_abi.ail	ok	
scripts/dst/fixtures/adr001_boundary/gate/gate_imported.ail	ok	
scripts/dst/fixtures/adr001_boundary/helper.ail	FAIL	Error: type error in scripts/dst/fixtures/adr001_boundary/helper (decl 1): type unification failed at [function application at scripts/dst/fixtures/adr001_boundary/helper.ail:6:40]: failed to unify parameter 0: record field mismatch: expected 2 fields, got 1
scripts/dst/fixtures/adr001_boundary/helpers.ail	ok	
scripts/dst/fixtures/adr001_boundary/localannot.ail	FAIL	Error: type error in scripts/dst/fixtures/adr001_boundary/localannot (decl 0): type unification failed at [function application at scripts/dst/fixtures/adr001_boundary/localannot.ail:5:118]: failed to unify parameter 0: failed to unify effect rows: incompatible closed rows: r1 has extra labels [], r2 has extra labels [IO]
scripts/dst/fixtures/adr001_boundary/localrecord.ail	FAIL	Error: type error in scripts/dst/fixtures/adr001_boundary/localrecord (decl 0): type unification failed at [function application at scripts/dst/fixtures/adr001_boundary/localrecord.ail:5:111]: failed to unify parameter 0: failed to unify effect rows: incompatible closed rows: r1 has extra labels [], r2 has extra labels [IO]
scripts/dst/fixtures/adr001_boundary/localunannot.ail	FAIL	Error: type error in scripts/dst/fixtures/adr001_boundary/localunannot (decl 0): type unification failed at [function application at scripts/dst/fixtures/adr001_boundary/localunannot.ail:5:113]: failed to unify parameter 0: failed to unify effect rows: incompatible closed rows: r1 has extra labels [], r2 has extra labels [IO]
scripts/dst/fixtures/adr001_boundary/missingannot.ail	ok	
scripts/dst/fixtures/adr001_boundary/missingnamed.ail	FAIL	Error: type error in scripts/dst/fixtures/adr001_boundary/missingnamed (decl 0): type unification failed at [field access at scripts/dst/fixtures/adr001_boundary/missingnamed.ail:4:45]: record field 'ports' not found in concrete record
scripts/dst/fixtures/adr001_boundary/missingport.ail	ok	
scripts/dst/fixtures/adr001_boundary/missingworld.ail	FAIL	Error: type error in scripts/dst/fixtures/adr001_boundary/missingworld (decl 0): type unification failed at [function application at scripts/dst/fixtures/adr001_boundary/missingworld.ail:4:28]: failed to unify parameter 0: failed to unify parameter 0: record field 'world' not found in concrete record
scripts/dst/fixtures/adr001_boundary/n_dec_prepare_escape.ail	ok	
scripts/dst/fixtures/adr001_boundary/n_fs_named_indirect.ail	FAIL	Error: effect checking failed in scripts/dst/fixtures/adr001_boundary/n_fs_named_indirect: Effect checking failed for function 'body'
scripts/dst/fixtures/adr001_boundary/n_fs_named_localsmuggle.ail	FAIL	Error: effect checking failed in scripts/dst/fixtures/adr001_boundary/n_fs_named_localsmuggle: Effect checking failed for function 'body'
scripts/dst/fixtures/adr001_boundary/n_fs_passthru_captured2.ail	ok	
scripts/dst/fixtures/adr001_boundary/n_pure_named_localsmuggle.ail	FAIL	Error: type error in scripts/dst/fixtures/adr001_boundary/n_pure_named_localsmuggle (decl 1): type unification failed at [function application at scripts/dst/fixtures/adr001_boundary/n_pure_named_localsmuggle.ail:6:28]: failed to unify parameter 0: failed to unify effect rows: incompatible closed rows: r1 has extra labels [], r2 has extra labels [IO]
scripts/dst/fixtures/adr001_boundary/n_pure_passthru_captured.ail	ok	
scripts/dst/fixtures/adr001_boundary/n_pure_passthru_capturedfn.ail	FAIL	Error: type error in scripts/dst/fixtures/adr001_boundary/n_pure_passthru_capturedfn (decl 1): type unification failed at [function application at scripts/dst/fixtures/adr001_boundary/n_pure_passthru_capturedfn.ail:5:104]: failed to unify parameter 0: failed to unify effect rows: incompatible closed rows: r1 has extra labels [], r2 has extra labels [IO]
scripts/dst/fixtures/adr001_boundary/n_pure_passthru_unannot.ail	ok	
scripts/dst/fixtures/adr001_boundary/n_pure_passthru_xmod.ail	FAIL	Error: type error in scripts/dst/fixtures/adr001_boundary/n_pure_passthru_xmod (decl 0): type unification failed at [let annotation w at scripts/dst/fixtures/adr001_boundary/n_pure_passthru_xmod.ail:5:24]: failed to unify record field 'f': failed to unify effect rows: incompatible closed rows: r1 has extra labels [IO], r2 has extra labels []
scripts/dst/fixtures/adr001_boundary/named.ail	FAIL	Error: type error in scripts/dst/fixtures/adr001_boundary/named (decl 1): type unification failed at [function application at scripts/dst/fixtures/adr001_boundary/named.ail:5:28]: failed to unify parameter 0: failed to unify effect rows: incompatible closed rows: r1 has extra labels [], r2 has extra labels [IO]
scripts/dst/fixtures/adr001_boundary/named_list_lambda.ail	FAIL	Error: type error in scripts/dst/fixtures/adr001_boundary/named_list_lambda (decl 2): type unification failed at [function application at scripts/dst/fixtures/adr001_boundary/named_list_lambda.ail:7:81]: failed to unify parameter 0: failed to unify effect rows: incompatible closed rows: r1 has extra labels [], r2 has extra labels [IO]
