file	result	first_error
tools/code-graph/tests/fixtures/sample3/agent_loop_v2.ail	FAIL	Error: module loading error: failed to load stub_step: LDR001: module not found: stub_step
tools/code-graph/tests/fixtures/sample3/ok_effect.ail	FAIL	Error: effect checking failed in tools/code-graph/tests/fixtures/sample3/ok_effect: Effect checking failed for function 'helper'
tools/code-graph/tests/fixtures/sample3/stub_step.ail	ok	
tools/code-graph/tests/fixtures/source_index/chunk_boundaries.ail	FAIL	PAR_IMPORT_PLACEMENT at tools/code-graph/tests/fixtures/source_index/chunk_boundaries.ail:16:1: imports must appear immediately after the module declaration
tools/code-graph/tests/fixtures/source_index/comments.ail	ok	
tools/code-graph/tests/fixtures/source_index/csv_quotes_commas_newlines.ail	ok	
tools/code-graph/tests/fixtures/source_index/multiline_chunk.ail	ok	
tools/code-graph/tests/fixtures/source_index/slug_join.ail	ok	
tools/driver_leaf_inventory/fixtures/control_clean.ail	ok	
tools/driver_leaf_inventory/fixtures/control_wake_read_witnessed.ail	ok	
tools/driver_leaf_inventory/fixtures/form_unadvanced_direct.ail	ok	
tools/driver_leaf_inventory/fixtures/form_unadvanced_indirect.ail	ok	
tools/driver_leaf_inventory/fixtures/form_wake_read_unwitnessed.ail	ok	
tools/driver_leaf_inventory/fixtures/form_witnessed_after_record.ail	ok	
tools/ext_ambient_inventory/fixtures/control_ambient_builtin.ail	FAIL	Error: effect checking failed in tools/ext_ambient_inventory/fixtures/control_ambient_builtin: Effect checking failed for function 'emit'
tools/ext_ambient_inventory/fixtures/control_ambient_import.ail	ok	
tools/ext_ambient_inventory/fixtures/control_multiline_import.ail	ok	
tools/ext_ambient_inventory/fixtures/control_prose_only.ail	ok	
tools/ext_ambient_inventory/fixtures/control_pure_builtin.ail	ok	
tools/ext_ambient_inventory/fixtures/control_pure_unannotated.ail	ok	
tools/ext_ambient_inventory/fixtures/control_renamed_symbol.ail	ok	
tools/ext_ambient_inventory/fixtures/control_type_in_effect_module.ail	ok	
tools/ext_ambient_inventory/fixtures/hook_scope/control_capability_list_empty.ail	ok	
tools/ext_ambient_inventory/fixtures/hook_scope/control_capability_list_inline.ail	ok	
tools/ext_ambient_inventory/fixtures/hook_scope/control_capability_list_named_wide.ail	FAIL	Error: type error in tools/ext_ambient_inventory/fixtures/hook_scope/control_capability_list_named_wide (decl 1): type unification failed at [function application at tools/ext_ambient_inventory/fixtures/hook_scope/control_capability_list_named_wide.ail:17:15]: failed to unify parameter 0: failed to unify parameter 0: record field 'ext_config' not found in second record
tools/ext_ambient_inventory/fixtures/hook_scope/control_capability_list_same_kind.ail	FAIL	Error: type error in tools/ext_ambient_inventory/fixtures/hook_scope/control_capability_list_same_kind (decl 1): type unification failed at [function application at tools/ext_ambient_inventory/fixtures/hook_scope/control_capability_list_same_kind.ail:18:13]: failed to unify parameter 0: failed to unify parameter 0: record field mismatch: expected 24 fields, got 23
tools/ext_ambient_inventory/fixtures/hook_scope/control_ext_ports_call.ail	FAIL	Error: type error in tools/ext_ambient_inventory/fixtures/hook_scope/control_ext_ports_call (decl 0): undefined variable: None at tools/ext_ambient_inventory/fixtures/hook_scope/control_ext_ports_call.ail:14:74
tools/ext_ambient_inventory/fixtures/hook_scope/control_hook_reaches_env.ail	FAIL	Error: type error in tools/ext_ambient_inventory/fixtures/hook_scope/control_hook_reaches_env (decl 0): type unification failed at [function application at tools/ext_ambient_inventory/fixtures/hook_scope/control_hook_reaches_env.ail:14:17]: failed to unify parameter 0: failed to unify effect rows: incompatible closed rows: r1 has extra labels [], r2 has extra labels [Env]
tools/ext_ambient_inventory/fixtures/hook_scope/control_interpolated_call.ail	FAIL	Error: type error in tools/ext_ambient_inventory/fixtures/hook_scope/control_interpolated_call (decl 0): type unification failed at [function application at tools/ext_ambient_inventory/fixtures/hook_scope/control_interpolated_call.ail:14:17]: failed to unify parameter 0: failed to unify effect rows: incompatible closed rows: r1 has extra labels [], r2 has extra labels [Clock]
tools/ext_ambient_inventory/fixtures/hook_scope/control_named_hook_in_register.ail	FAIL	Error: type error in tools/ext_ambient_inventory/fixtures/hook_scope/control_named_hook_in_register (decl 2): undefined variable: None at tools/ext_ambient_inventory/fixtures/hook_scope/control_named_hook_in_register.ail:24:50
tools/ext_ambient_inventory/fixtures/hook_scope/control_registration_only.ail	FAIL	Error: type error in tools/ext_ambient_inventory/fixtures/hook_scope/control_registration_only (decl 0): undefined variable: None at tools/ext_ambient_inventory/fixtures/hook_scope/control_registration_only.ail:17:50
tools/ext_ambient_inventory/fixtures/hook_scope/reject_applied_local.ail	FAIL	Error: type error in tools/ext_ambient_inventory/fixtures/hook_scope/reject_applied_local (decl 0): undefined variable: None at tools/ext_ambient_inventory/fixtures/hook_scope/reject_applied_local.ail:16:50
tools/ext_ambient_inventory/fixtures/hook_scope/reject_binding_unresolvable.ail	FAIL	Error: type error in tools/ext_ambient_inventory/fixtures/hook_scope/reject_binding_unresolvable (decl 0): undefined variable: None at tools/ext_ambient_inventory/fixtures/hook_scope/reject_binding_unresolvable.ail:13:50
tools/ext_ambient_inventory/fixtures/hook_scope/reject_capability_list_arity.ail	FAIL	Error: type error in tools/ext_ambient_inventory/fixtures/hook_scope/reject_capability_list_arity (decl 1): type unification failed at [function application at tools/ext_ambient_inventory/fixtures/hook_scope/reject_capability_list_arity.ail:13:16]: TC_ARITY_001: function expects 2 argument(s), but 1 provided
tools/ext_ambient_inventory/fixtures/hook_scope/reject_capability_list_computed.ail	FAIL	Error: type error in tools/ext_ambient_inventory/fixtures/hook_scope/reject_capability_list_computed (decl 2): type unification failed at [function application at tools/ext_ambient_inventory/fixtures/hook_scope/reject_capability_list_computed.ail:15:15]: failed to unify parameter 0: failed to unify parameter 0: record field 'ext_config' not found in second record
