fix	test	baseline	mutated	restored	bytes	verdict
vote_family_finalize	src/core/ext/registry_normalize.ail	GREEN	RED	GREEN	same	PASS
vote_family_tool_policy	src/core/ext/registry_normalize.ail	GREEN	RED	GREEN	same	PASS
ext_set_digest_kind_only	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
config_digest_tool_names	src/core/ext/registry_normalize.ail	GREEN	RED	GREEN	same	PASS
config_digest_exit_label	src/core/ext/registry_normalize.ail	GREEN	RED	GREEN	same	PASS
config_digest_exit_enabled	src/core/ext/registry_normalize.ail	GREEN	RED	GREEN	same	PASS
config_digest_work_label	src/core/ext/registry_normalize.ail	GREEN	RED	GREEN	same	PASS
describe_tools_config	src/core/tool_catalog.ail	GREEN	RED	GREEN	same	PASS
vote_families_independent	src/core/ext/registry_normalize.ail	GREEN	RED	GREEN	same	PASS
config_carried_unchanged	src/core/ext/registry_normalize.ail	GREEN	RED	GREEN	same	PASS
config_digest_config	src/core/ext/registry_normalize.ail	GREEN	RED	GREEN	same	PASS
config_digest_canonical	src/core/ext/registry_normalize.ail	GREEN	RED	GREEN	same	PASS
kind_name_decision	src/core/ext/registry_normalize.ail	GREEN	RED	GREEN	same	PASS
ext_set_digest_decision_kind	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
stamp_prompt_shaper	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
stamp_budget_shaper	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
stamp_compactor	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
stamp_tool_policy	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
stamp_tool_provider	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
stamp_response_interceptor	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
stamp_exit_intent	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
stamp_work_in_flight	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
stamp_solver_judge	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
work_in_flight_bootstrap	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
precedence_tool_policy	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
precedence_finalize	src/core/ext/runtime.ail	GREEN	RED	GREEN	same	PASS
rpc_inline_ext_ctx_literal	src/core/rpc.ail	GREEN	RED	GREEN	same	PASS
