fix	test	baseline	mutated	restored	bytes	verdict
cs_inline	packages/motoko-ext-compaction-structural/register.ail	GREEN	RED	GREEN	same	PASS
df_inline	packages/motoko-ext-decision-framework/register.ail	GREEN	RED	GREEN	same	PASS
esg_inline	packages/motoko-ext-empty-stop-guard/register.ail	GREEN	RED	GREEN	same	PASS
mr_inline	packages/motoko-ext-microrag/register.ail	GREEN	RED	GREEN	same	PASS
og_inline	packages/motoko-ext-omnigraph/register.ail	GREEN	RED	GREEN	same	PASS
pcg_inline	packages/motoko-ext-progress-contract-guard/register.ail	GREEN	RED	GREEN	same	PASS
tree_6_32	packages/motoko-ext-omnigraph/register.ail	GREEN	RED	GREEN	same	PASS
og_capture_module	packages/motoko-ext-omnigraph/register.ail	GREEN	RED	GREEN	same	PASS
og_config_withheld	packages/motoko-ext-omnigraph/register.ail	GREEN	RED	GREEN	same	PASS
pin_8_0	packages/motoko-ext-microrag/ailang.toml	GREEN	RED	GREEN	same	PASS
esg_view_test	packages/motoko-ext-empty-stop-guard/empty_stop_guard.ail	GREEN	RED	GREEN	same	PASS
pcg_view_test	packages/motoko-ext-progress-contract-guard/progress_contract_guard.ail	GREEN	RED	GREEN	same	PASS
cs_view_test	packages/motoko-ext-compaction-structural/compaction_structural.ail	GREEN	RED	GREEN	same	PASS
cs_projection	packages/motoko-ext-compaction-structural/register.ail	GREEN	RED	GREEN	same	PASS
integ_tests	packages/motoko-ext-compaction-structural/compaction_structural.ail	GREEN	RED	GREEN	same	PASS
policy_dst_ctx	scripts/dst/compaction_policy_dst.ail	GREEN	RED	GREEN	same	PASS
seeded_dst_ctx	scripts/dst/compaction_seeded_dst.ail	GREEN	RED	GREEN	same	PASS
full_loop_entry	scripts/smoke_v2_compaction_full_loop.ail	GREEN	RED	GREEN	same	PASS
c2_guard_budget	scripts/dst/phase_c2_wiring_scenarios.ail	GREEN	RED	GREEN	same	PASS
ceiling_cs_Trace	packages/motoko-ext-compaction-structural/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_mr_Rand	packages/motoko-ext-microrag/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_mr_Trace	packages/motoko-ext-microrag/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_og_AI	packages/motoko-ext-omnigraph/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_og_Net	packages/motoko-ext-omnigraph/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_og_Clock	packages/motoko-ext-omnigraph/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_og_Stream	packages/motoko-ext-omnigraph/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_og_Rand	packages/motoko-ext-omnigraph/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_og_Trace	packages/motoko-ext-omnigraph/ailang.toml	GREEN	RED	GREEN	same	PASS
