fix	test	baseline	mutated	restored	bytes	verdict
rg_inline	packages/motoko-ext-repetition-guard/register.ail	GREEN	RED	GREEN	same	PASS
td_inline	packages/motoko-ext-test-dummy/register.ail	GREEN	RED	GREEN	same	PASS
sp_inline	packages/motoko_scratchpad/register.ail	GREEN	RED	GREEN	same	PASS
exa_inline	packages/motoko-ext-exa-search/register.ail	GREEN	RED	GREEN	same	PASS
cm_inline	packages/motoko-ext-context-mode/register.ail	GREEN	RED	GREEN	same	PASS
tree	packages/motoko-ext-test-dummy/register.ail	GREEN	RED	GREEN	same	PASS
rg_calls	packages/motoko-ext-repetition-guard/register.ail	GREEN	RED	GREEN	same	PASS
rg_answers	packages/motoko-ext-repetition-guard/register.ail	GREEN	RED	GREEN	same	PASS
td_marker	packages/motoko-ext-test-dummy/register.ail	GREEN	RED	GREEN	same	PASS
td_budget	packages/motoko-ext-test-dummy/register.ail	GREEN	RED	GREEN	same	PASS
td_tool	packages/motoko-ext-test-dummy/register.ail	GREEN	RED	GREEN	same	PASS
td_finalize	packages/motoko-ext-test-dummy/register.ail	GREEN	RED	GREEN	same	PASS
sp_timeout	packages/motoko_scratchpad/register.ail	GREEN	RED	GREEN	same	PASS
exa_prompt	packages/motoko-ext-exa-search/register.ail	GREEN	RED	GREEN	same	PASS
exa_timeout	packages/motoko-ext-exa-search/exa_search.ail	GREEN	RED	GREEN	same	PASS
exa_maxchars	packages/motoko-ext-exa-search/exa_search.ail	GREEN	RED	GREEN	same	PASS
cm_prompt	packages/motoko-ext-context-mode/register.ail	GREEN	RED	GREEN	same	PASS
cm_bin	packages/motoko-ext-context-mode/types.ail	GREEN	RED	GREEN	same	PASS
cm_timeout	packages/motoko-ext-context-mode/types.ail	GREEN	RED	GREEN	same	PASS
cm_maxchars	packages/motoko-ext-context-mode/types.ail	GREEN	RED	GREEN	same	PASS
cm_prefix	packages/motoko-ext-context-mode/types.ail	GREEN	RED	GREEN	same	PASS
cm_judge	packages/motoko-ext-context-mode/register.ail	GREEN	RED	GREEN	same	PASS
rg_withheld	packages/motoko-ext-repetition-guard/register.ail	GREEN	RED	GREEN	same	PASS
cm_withheld	packages/motoko-ext-context-mode/register.ail	GREEN	RED	GREEN	same	PASS
exa_key_in_config	packages/motoko-ext-exa-search/exa_search.ail	GREEN	RED	GREEN	same	PASS
td_ceiling_Process	packages/motoko-ext-test-dummy/ailang.toml	GREEN	RED	GREEN	same	PASS
sp_ceiling_Rand	packages/motoko_scratchpad/ailang.toml	GREEN	RED	GREEN	same	PASS
sp_ceiling_Trace	packages/motoko_scratchpad/ailang.toml	GREEN	RED	GREEN	same	PASS
exa_ceiling_IO	packages/motoko-ext-exa-search/ailang.toml	GREEN	RED	GREEN	same	PASS
exa_ceiling_AI	packages/motoko-ext-exa-search/ailang.toml	GREEN	RED	GREEN	same	PASS
exa_ceiling_Net	packages/motoko-ext-exa-search/ailang.toml	GREEN	RED	GREEN	same	PASS
exa_ceiling_SharedMem	packages/motoko-ext-exa-search/ailang.toml	GREEN	RED	GREEN	same	PASS
exa_ceiling_Clock	packages/motoko-ext-exa-search/ailang.toml	GREEN	RED	GREEN	same	PASS
exa_ceiling_Stream	packages/motoko-ext-exa-search/ailang.toml	GREEN	RED	GREEN	same	PASS
exa_ceiling_Rand	packages/motoko-ext-exa-search/ailang.toml	GREEN	RED	GREEN	same	PASS
exa_ceiling_Trace	packages/motoko-ext-exa-search/ailang.toml	GREEN	RED	GREEN	same	PASS
cm_ceiling_IO	packages/motoko-ext-context-mode/ailang.toml	GREEN	RED	GREEN	same	PASS
cm_ceiling_AI	packages/motoko-ext-context-mode/ailang.toml	GREEN	RED	GREEN	same	PASS
cm_ceiling_Net	packages/motoko-ext-context-mode/ailang.toml	GREEN	RED	GREEN	same	PASS
cm_ceiling_Stream	packages/motoko-ext-context-mode/ailang.toml	GREEN	RED	GREEN	same	PASS
cm_ceiling_Rand	packages/motoko-ext-context-mode/ailang.toml	GREEN	RED	GREEN	same	PASS
cm_ceiling_Trace	packages/motoko-ext-context-mode/ailang.toml	GREEN	RED	GREEN	same	PASS
rg_pin_8_0	packages/motoko-ext-repetition-guard/ailang.toml	GREEN	RED	GREEN	same	PASS
rg_own_tests	packages/motoko-ext-repetition-guard/repetition_guard.ail	GREEN	RED	GREEN	same	PASS
masked_verify_rg	packages/motoko-ext-repetition-guard/repetition_guard.ail	GREEN	RED	GREEN	same	PASS
sp_loopback_trace	packages/motoko_scratchpad/ws_loopback.ail	GREEN	RED	GREEN	same	PASS
