fix	test	baseline	mutated	restored	bytes	verdict
a2a_inline	packages/motoko-ext-a2a/register.ail	GREEN	RED	GREEN	same	PASS
agentcli_inline	packages/motoko-ext-agentcli/register.ail	GREEN	RED	GREEN	same	PASS
docs_inline	packages/motoko-ext-ailang-docs/register.ail	GREEN	RED	GREEN	same	PASS
mcp_inline	packages/motoko-ext-mcp/register.ail	GREEN	RED	GREEN	same	PASS
cai_inline	packages/motoko-ext-compaction-ai/register.ail	GREEN	RED	GREEN	same	PASS
batch_c_shape	packages/motoko-ext-mcp/register.ail	GREEN	RED	GREEN	same	PASS
a2a_capture_describe	packages/motoko-ext-a2a/register.ail	GREEN	RED	GREEN	same	PASS
a2a_capture_provider	packages/motoko-ext-a2a/register.ail	GREEN	RED	GREEN	same	PASS
agentcli_capture_describe	packages/motoko-ext-agentcli/register.ail	GREEN	RED	GREEN	same	PASS
agentcli_capture_provider	packages/motoko-ext-agentcli/register.ail	GREEN	RED	GREEN	same	PASS
docs_capture_describe	packages/motoko-ext-ailang-docs/register.ail	GREEN	RED	GREEN	same	PASS
docs_capture_limits	packages/motoko-ext-ailang-docs/ailang_docs.ail	GREEN	RED	GREEN	same	PASS
mcp_capture_provider	packages/motoko-ext-mcp/register.ail	GREEN	RED	GREEN	same	PASS
cai_capture_compactor	packages/motoko-ext-compaction-ai/register.ail	GREEN	RED	GREEN	same	PASS
agentcli_env_withheld	packages/motoko-ext-agentcli/register.ail	GREEN	RED	GREEN	same	PASS
docs_env_withheld	packages/motoko-ext-ailang-docs/register.ail	GREEN	RED	GREEN	same	PASS
mcp_config_withheld	packages/motoko-ext-mcp/register.ail	GREEN	RED	GREEN	same	PASS
pin_8_0	packages/motoko-ext-mcp/ailang.toml	GREEN	RED	GREEN	same	PASS
cai_failing_port_test	packages/motoko-ext-compaction-ai/compaction_ai.ail	GREEN	RED	GREEN	same	PASS
cai_calib_parity	packages/motoko-ext-compaction-ai/compaction_ai.ail	GREEN	RED	GREEN	same	PASS
masked_selftest	scripts/dst/conformance_selftest.ail	GREEN	RED	GREEN	same	PASS
masked_long_qwen	scripts/dst/long_qwen_compaction_dst.ail	GREEN	RED	GREEN	same	PASS
ceiling_a2a_Process	packages/motoko-ext-a2a/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_a2a_AI	packages/motoko-ext-a2a/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_a2a_SharedMem	packages/motoko-ext-a2a/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_a2a_Clock	packages/motoko-ext-a2a/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_a2a_Stream	packages/motoko-ext-a2a/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_a2a_Trace	packages/motoko-ext-a2a/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_agentcli_AI	packages/motoko-ext-agentcli/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_agentcli_Net	packages/motoko-ext-agentcli/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_agentcli_SharedMem	packages/motoko-ext-agentcli/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_agentcli_Clock	packages/motoko-ext-agentcli/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_agentcli_Stream	packages/motoko-ext-agentcli/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_agentcli_Rand	packages/motoko-ext-agentcli/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_agentcli_Trace	packages/motoko-ext-agentcli/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_ailang-docs_IO	packages/motoko-ext-ailang-docs/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_ailang-docs_AI	packages/motoko-ext-ailang-docs/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_ailang-docs_Net	packages/motoko-ext-ailang-docs/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_ailang-docs_SharedMem	packages/motoko-ext-ailang-docs/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_ailang-docs_Clock	packages/motoko-ext-ailang-docs/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_ailang-docs_Stream	packages/motoko-ext-ailang-docs/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_ailang-docs_Rand	packages/motoko-ext-ailang-docs/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_ailang-docs_Trace	packages/motoko-ext-ailang-docs/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_mcp_AI	packages/motoko-ext-mcp/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_mcp_Net	packages/motoko-ext-mcp/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_mcp_SharedMem	packages/motoko-ext-mcp/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_mcp_Clock	packages/motoko-ext-mcp/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_mcp_Stream	packages/motoko-ext-mcp/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_mcp_Rand	packages/motoko-ext-mcp/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_mcp_Trace	packages/motoko-ext-mcp/ailang.toml	GREEN	RED	GREEN	same	PASS
ceiling_compaction-ai_Trace	packages/motoko-ext-compaction-ai/ailang.toml	GREEN	RED	GREEN	same	PASS
