fix	test	baseline	mutated	restored	bytes	verdict
compose_inline_policy	packages/motoko-ext-compose/compose.ail	GREEN	RED	GREEN	same	PASS
compose_inline_intercept	packages/motoko-ext-compose/compose.ail	GREEN	RED	GREEN	same	PASS
herdr_inline_prompt	packages/motoko-ext-herdr/herdr.ail	GREEN	RED	GREEN	same	PASS
herdr_inline_exit	packages/motoko-ext-herdr/herdr.ail	GREEN	RED	GREEN	same	PASS
herdr_head_delegated	packages/motoko-ext-herdr/register.ail	GREEN	RED	GREEN	same	PASS
compose_capture_mode_policy	packages/motoko-ext-compose/compose.ail	GREEN	RED	GREEN	same	PASS
compose_capture_mode_intercept	packages/motoko-ext-compose/compose.ail	GREEN	RED	GREEN	same	PASS
compose_capture_snippet_caps	packages/motoko-ext-compose/compose.ail	GREEN	RED	GREEN	same	PASS
compose_capture_runtime_cfg	packages/motoko-ext-compose/compose.ail	GREEN	RED	GREEN	same	PASS
herdr_capture_describe_cfg	packages/motoko-ext-herdr/herdr.ail	GREEN	RED	GREEN	same	PASS
herdr_capture_describe_tools	packages/motoko-ext-herdr/herdr.ail	GREEN	RED	GREEN	same	PASS
herdr_capture_orch_prompt	packages/motoko-ext-herdr/herdr.ail	GREEN	RED	GREEN	same	PASS
herdr_capture_orch_policy	packages/motoko-ext-herdr/herdr.ail	GREEN	RED	GREEN	same	PASS
herdr_capture_cfg_provider	packages/motoko-ext-herdr/herdr.ail	GREEN	RED	GREEN	same	PASS
herdr_capture_cfg_exit	packages/motoko-ext-herdr/herdr.ail	GREEN	RED	GREEN	same	PASS
herdr_capture_cfg_waiting	packages/motoko-ext-herdr/herdr.ail	GREEN	RED	GREEN	same	PASS
herdr_exit_enabled_data	packages/motoko-ext-herdr/herdr.ail	GREEN	RED	GREEN	same	PASS
herdr_register_withholds_pane	packages/motoko-ext-herdr/register.ail	GREEN	RED	GREEN	same	PASS
compose_register_withholds_profile	packages/motoko-ext-compose/register.ail	GREEN	RED	GREEN	same	PASS
compose_codec_field	packages/motoko-ext-compose/config.ail	GREEN	RED	GREEN	same	PASS
herdr_codec_field	packages/motoko-ext-herdr/herdr.ail	GREEN	RED	GREEN	same	PASS
herdr_orch_codec_field	packages/motoko-ext-herdr/orchestrator.ail	GREEN	RED	GREEN	same	PASS
compose_remove_ports	packages/motoko-ext-compose/compose.ail	GREEN	RED	GREEN	same	PASS
compose_ceiling_Rand	packages/motoko-ext-compose/ailang.toml	GREEN	RED	GREEN	same	PASS
compose_ceiling_Trace	packages/motoko-ext-compose/ailang.toml	GREEN	RED	GREEN	same	PASS
herdr_ceiling_AI	packages/motoko-ext-herdr/ailang.toml	GREEN	RED	GREEN	same	PASS
herdr_ceiling_Net	packages/motoko-ext-herdr/ailang.toml	GREEN	RED	GREEN	same	PASS
herdr_ceiling_SharedMem	packages/motoko-ext-herdr/ailang.toml	GREEN	RED	GREEN	same	PASS
herdr_ceiling_Stream	packages/motoko-ext-herdr/ailang.toml	GREEN	RED	GREEN	same	PASS
herdr_ceiling_Rand	packages/motoko-ext-herdr/ailang.toml	GREEN	RED	GREEN	same	PASS
herdr_ceiling_Trace	packages/motoko-ext-herdr/ailang.toml	GREEN	RED	GREEN	same	PASS
compose_pin_8_0	packages/motoko-ext-compose/ailang.toml	GREEN	RED	GREEN	same	PASS
herdr_pin_8_0	packages/motoko-ext-herdr/ailang.toml	GREEN	RED	GREEN	same	PASS
masked_compose_live_exec	scripts/dst/compose_live_exec.ail	GREEN	RED	GREEN	same	PASS
masked_declared_vs_performed	scripts/dst/declared_vs_performed.ail	GREEN	RED	GREEN	same	PASS
masked_herdr_graded_dst	scripts/dst/herdr_graded_dst.ail	GREEN	RED	GREEN	same	PASS
masked_verify_exit_intent	scripts/verify_exit_intent.ail	GREEN	RED	GREEN	same	PASS
masked_verify_herdr_orchestrator	scripts/verify_herdr_orchestrator.ail	GREEN	RED	GREEN	same	PASS
masked_verify_delegate_kind_required	scripts/verify_delegate_kind_required.ail	GREEN	RED	GREEN	same	PASS
masked_verify_herdr_delegate_wait	scripts/verify_herdr_delegate_wait.ail	GREEN	RED	GREEN	same	PASS
masked_verify_mot131_early_answer	scripts/verify_mot131_early_answer.ail	GREEN	RED	GREEN	same	PASS
masked_verify_mot133_owner_tag	scripts/verify_mot133_owner_tag.ail	GREEN	RED	GREEN	same	PASS
masked_verify_mot136_dagr_producer	scripts/verify_mot136_dagr_producer.ail	GREEN	RED	GREEN	same	PASS
masked_verify_mot137_dagr_pane	scripts/verify_mot137_dagr_pane.ail	GREEN	RED	GREEN	same	PASS
