fix	test	baseline	mutated	restored	bytes	verdict
p16ra2_corpus_pr_config	scripts/dst/corpus_pr_dst.ail	GREEN	RED	GREEN	same	PASS
p16ra2_corpus_rotating_config	scripts/dst/corpus_rotating_dst.ail	GREEN	RED	GREEN	same	PASS
p16ra2_latency_pair_config	scripts/dst/latency_pair_dst.ail	GREEN	RED	GREEN	same	PASS
p16ra2_seeded_generator_config	scripts/dst/seeded_generator_dst.ail	GREEN	RED	GREEN	same	PASS
p16ra2_strict_replay_config	scripts/dst/strict_replay_dst.ail	GREEN	RED	GREEN	same	PASS
p16ra2_discovery_config	scripts/dst/discovery_dst.ail	GREEN	RED	GREEN	same	PASS
p16ra2_discovery_grep_slot	scripts/dst/discovery_dst.ail	GREEN	RED	GREEN	same	PASS
p16ra2_driver_plus_compose_entry	scripts/dst/driver_plus_compose_dst.ail	GREEN	RED	GREEN	same	PASS
p16ra2_park_wake_config	scripts/dst/park_wake_dst.ail	GREEN	RED	GREEN	same	PASS
p16ra2_export_trace_config	scripts/dst/export_trace.ail	GREEN	RED	GREEN	same	PASS
