target	exit	seconds	last_line
check_core	0	53	src/core/ type-check: 60 passed, 0 failed
test	0	4	All core runtime module tests passed!
test_integration	0	2	All integration tests passed!
conformance	0	5	conformance registry probe PASS
declared_vs_performed	0	106	declared_vs_performed: 137 passed, 0 failed
ext_hook_scope	0	15	GATE: GREEN -- every installable extension has a total, passing registration-shape result.
ext_hook_scope_selftest	0	22	hook-scope self-test: 0 failure(s)
profile_definition	0	38	  ✓ src/core/dst_profile.ail
driver_only	0	17	  ✓ src/core/dst_driver_only.ail
profile_coverage	0	3	  ✓ src/core/dst_profile_coverage.ail
driver_plus_no_ops	0	26	  ✓ src/core/dst_driver_plus_no_ops.ail
registry_gen_check	0	0	  ✓ src/core/ext/registry_generated.ail matches the generator
anchors	0	0	  ✓ src/core/tool_phase.ail:484 still the FIFTH routed core clock site (D4's table says four)
driver_leaf_inventory	0	0	RequestClass frozen: EnvRead, FileRead, ClockRead, ToolExec, ModelStep, WakeRead
event_vocabulary	0	20	  ✓ src/core/phase_vocab.ail (goldens)
tui_bun_test	1	7	error: script "test" exited with code 1
